,"\"Dame este Messi empedo de nuevo \\ud83e\\udef6\\ud83c\\udffc https://t.co/P7pb5bCqA6\""
,"\"Jajaja noooooooooo #messi #Messi\\ud80c\\udcf5 #Mbappe #Qatar2022 #Obelisco #AntonellaRocuzzo jajaja jaja #CopaDelMundo2022 #Campeonesdelmundotn #ArgentinaCampeonDelMundo #andapallabobo https://t.co/meGS90KWxL\""
,"\"Que @Blayasensat lo estaba petando lo sab\\u00eda, ahora bien, ya lo de que hasta Messi se ponga el bat\\u00edn de celebraci\\u00f3n, me parece un exceso.\""
,"\"Vamous Argentina \\ud83e\\udd79\\ud83c\\udde6\\ud83c\\uddf7\\ud83c\\udfc6\\nLeo Messi \\ud83c\\udfc6\\ud83c\\udde6\\ud83c\\uddf7 https://t.co/GXbSvhppzW\""
,"\"Lionel #Messi logr\\u00f3 al fin su ansiado campeonato con la selecci\\u00f3n argentina. Pero la \\\"mejor final de todos los mundiales\\\" se hab\\u00eda empezado a jugar varias semanas antes. C\\u00f3mo fue la sufrida marcha del golazo colectivo hacia la Copa. https://t.co/2xxJ70dRWQ https://t.co/KG190J6tNx\""
,"\"VIVA MESSI VIVA AUTISMOS\""
,"\"Argentina se prepara para recibir a Messi y a sus otros h\\u00e9roes campeones del mundo https://t.co/hMp9VItzp0\""
,"\"No puedo creer que nac\\u00ed en el mismo pa\\u00eds que Maradona y Messi\""
,"\"No dejo de ver fotos de Messi con la copa\\ud83d\\ude0d\""
,"\"As\\u00ed empez\\u00f3/ As\\u00ed termin\\u00f3.\\n#CampeonesDelMundo  #Argentina\\n#Messi\\ud80c\\udcf5 https://t.co/HPkWZF6Vur\""
,"\"No s\\u00e9 si me da m\\u00e1s felicidad que Argentina sea campe\\u00f3n del mundo, o que Messi haya levantado la copa y sea el mejor del Mundo! \\u2b50\\u2b50\\u2b50\\ud83c\\udde6\\ud83c\\uddf7\""
,"\"El Kun en cualquier momento cambia su foto de DNI por la de Messi con la copa. ESA AMISTAD \\ud83d\\udc99\\ud83e\\udd0d\\ud83d\\udc99\""
,"\"Ya se le dio a Messi, cuando se nos da a nosotros mi amor\""
,"\"escuchando karma no hay d\\u00eda desde q salio esa canci\\u00f3n que no la relacione con la selecci\\u00f3n y messi gracias taylor vos fuiste mi cabla\""
,"\"Messi tiene un nuevo r\\u00e9cord mundial por esta publicaci\\u00f3n en Instagram      https://t.co/0PlYm3DsC9\""
,"\"Vamos de nuevo. Post Messi (Di Mar\\u00eda y Otamendi tmb) quien tiene que ser capitan de la selecci\\u00f3n?\""
,"\"\\ud83c\\udde6\\ud83c\\uddf7BUENOS D\\u00cdAS CAMPEONES DEL MUNDO\\ud83c\\udde6\\ud83c\\uddf7\\nEstamos viviendo una realidad hist\\u00f3rica. Que felicidad!!!\\nPrimero Messi\\ud83d\\udc11\\nSegundo Mbappe \\ud83d\\udc38\""
,"\"En unos a\\u00f1os valoraremos m\\u00e1s el haberle ganado una Copa a Leo Messi.\""
,"\"\\\"Si Messi dice adi\\u00f3s, nos vamos con \\u00e9l\\u201d, afirma el periodista uruguayo V\\u00edctor Hugo #Cuba #VamosConTodo https://t.co/OaVMKMhzHw\""
,"\"Gracias Messi por ser un ejemplo de profesional (dentro y fuera de la cancha), de padre, de esposo y de persona. Nuestras futuras generaciones van a tener un verdadero idolo con todas las letras al quien admirar. https://t.co/Y4VYiK8IHr\""
,"\"Hoy que todos los que puteaban a Messi estan tan contentos festejando que sea el mejor jugador del mundo me genera la misma sensaci\\u00f3n que cuando se puso de moda el freestyle y ya estabamos hace 7 a\\u00f1os bancando... pero bueno, a todos les llega el momento de ver lo bueno de la vida\""
,"\"Maradona ha sido el mejor jugador del mundo para su selecci\\u00f3n , o sea, para un torneo de un mes.\\nMessi ha sido el mejor jugador del mundo para todo un a\\u00f1o, \\n o sea, para un equipo y para la selecci\\u00f3n.\\nLa profesionalidad y continuidad de Messi ha sido mayor. \\n #\\u00daLTIMAHORA\""
,"\"#elerarioteinforma\\n\\nARGENTINA CAMPE\\u00d3N DEL MUNDO EN QATAR 2022\\n\\nNota completa...\\n\\nhttps://t.co/x6R7HsCZ8g\\n\\nNoticia: Diego I\\u00f1iguez\\nFoto: tomada de redes sociales \\\"Messi\\\"\\n\\n#lariquezadelainformacion\\n#mundial\\n#Qatar\\n#deportes\\n#futbol\\n#America https://t.co/xvUcuYaCgs\""
,"\"Que pecho fr\\u00edo verdad? \\ud83e\\udd2d\\ud83e\\udd23\\ud83e\\udd23\\ud83e\\udd2d\\ud83e\\udd2d\\ud83e\\udd2d\\ud83e\\udd2d #GOAT\\ud80c\\udcf5 #Messi\\ud80c\\udcf5  eterno #BallonDor https://t.co/YyQBqcZ1zs\""
,"\"Los diarios del mundo con Messi y la copa en la tapa pero los dos m\\u00e1s \\\"importantes\\\" de nuestro pa\\u00eds, despu\\u00e9s de las notas nefastas que hicieron durante el mundial, ahora eligen una publicidad. \\nNos odian. Odian al pueblo. Y sin embargo much\\u00edsimos siguen comprando sus mentiras. https://t.co/vTXs8xQMPU\""
,"\"Debido al lagrimeo de diferentes amigos y a la molestia de algunos \\u201cenemigos\\u201d de #Argentina y #Messi\\ud80c\\udcf5. Me propuse a durante estos d\\u00edas q dure el festejo, y para no abandonar el contenido q suelo regalarles, combinar mis publicaciones. \\nHe aqu\\u00ed una postal hermosa: https://t.co/kuV17CIeiT\""
,"\"Que flor de partido el de ayer para el neutral. Que final que ganamos. \\nAguante Argentina, aguante Messi \\ud83c\\udde6\\ud83c\\uddf7\\ud83c\\udfc6\""
,"\"HERMOSA MA\\u00d1ANA VERDAD?? DIOS VI A MESSI LEVANTAR LA COPA NO LO VOY A SUPERAR NUNCA VI A LA SCALONETA LEVANTAR LA COPA AGUANTE SER ARGENTINO WACHOOO https://t.co/9GNLkWWagS\""
,"\"- \\\"Y por que le pusieron eso a Messi?\\\"\\n- \\\"Por que son putos moros\\\"\\n\\nI este \\u00e9s el nivell que toca aguantar a diari.\""
,"\"La gente arrecha porque Mbappe no celebr\\u00f3 la copa de Messi definitivamente nunca ha visto f\\u00fatbol antes \\u2620\\ufe0f\""
